state,county,GEO_ID,Number of Educational Institutions,Percent of Population with a Bachelor's Degree,GDP per Capita 2017
01,1,01001,0.0,18.273684210526316,25.83905080311069
01,3,01003,34.0,20.436842105263157,27.172905192761604
01,9,01009,3.0,18.923076923076923,14.114380841729238
01,15,01015,0.0,16.352941176470587,33.422039869467746
01,25,01025,0.0,17.007692307692306,31.323492385786803
01,31,01031,0.0,19.21875,27.614688778806805
01,33,01033,0.0,16.3,49.75903370992928
01,43,01043,0.0,17.255555555555556,30.48878254164474
01,45,01045,8.0,16.32857142857143,49.7873787783694
01,55,01055,0.0,18.741666666666667,26.6323255633557
01,69,01069,13.0,17.625,40.716486725323705
01,73,01073,122.0,20.119999999999997,61.51591908531223
01,77,01077,0.0,17.077777777777776,25.873463656982395
01,81,01081,27.0,19.09090909090909,37.661500539601654
01,83,01083,0.0,17.3,35.83873711761819
01,89,01089,82.0,20.766666666666666,58.95953433197533
01,93,01093,3.0,18.900000000000002,25.721704704238473
01,95,01095,9.0,17.91111111111111,31.067269733369926
01,97,01097,56.0,17.8,42.58131963082389
01,101,01101,40.0,15.19090909090909,54.85061201127157
01,103,01103,0.0,21.11111111111111,40.51080507229957
01,109,01109,3.0,19.77,39.51900141196263
01,111,01111,0.0,18.9375,18.586906347092764
01,113,01113,0.0,20.91111111111111,24.414774281805744
01,115,01115,8.0,13.516666666666666,19.76734876979882
01,117,01117,0.0,23.816666666666666,47.573488053430175
01,121,01121,5.0,20.400000000000002,33.94640737810305
01,125,01125,31.0,19.400000000000002,42.926451884318865
02,20,02020,98.0,21.4,67.01438846508509
02,90,02090,33.0,16.6,55.80357089302316
02,170,02170,20.0,14.7,21.83206605032877
02,195,02195,0.0,14.4,53.710229007633586
04,3,04003,17.0,20.436842105263157,33.66954377311961
04,5,04005,27.0,19.740909090909092,48.712562843067246
04,7,04007,0.0,18.366666666666667,37.24007902907141
04,9,04009,5.0,18.923076923076923,27.17814323607427
04,13,04013,1007.0,20.444444444444443,50.85036557565502
04,15,04015,0.0,16.352941176470587,23.941257798339937
04,17,04017,3.0,19.985714285714288,31.328066208225984
04,19,04019,250.0,20.194117647058825,38.3586085775527
04,21,04021,21.0,18.384615384615383,16.204146600680087
04,23,04023,5.0,17.233333333333334,34.96225031278312
04,25,04025,51.0,17.007692307692306,28.34355483952718
04,27,04027,11.0,17.991666666666667,38.10134569539017
05,5,05005,3.0,19.740909090909092,26.83048207723943
05,7,05007,53.0,18.366666666666667,51.01306076093129
05,9,05009,0.0,18.923076923076923,30.020369773191444
05,15,05015,5.0,16.352941176470587,28.253797422791735
05,19,05019,3.0,20.194117647058825,32.48268504112025
05,27,05027,3.0,17.991666666666667,34.65676058686229
05,29,05029,4.0,17.3,48.934952753650855
05,31,05031,19.0,19.21875,37.62326612052261
05,33,05033,0.0,16.3,24.82675187945717
05,35,05035,0.0,20.021428571428572,30.10580786557896
05,45,05045,20.0,16.32857142857143,29.89042891772893
05,51,05051,16.0,17.16,30.652570565544828
05,55,05055,5.0,18.741666666666667,29.764712537050027
05,59,05059,0.0,19.083333333333332,26.098237753882916
05,63,05063,3.0,18.80909090909091,42.64859692158396
05,69,05069,7.0,17.625,41.073585249323976
05,85,05085,0.0,20.28181818181818,16.009040353230493
05,91,05091,0.0,21.322222222222223,24.587957038391224
05,115,05115,0.0,13.516666666666666,42.3492236318879
05,119,05119,107.0,20.1,67.81002321508574
05,125,05125,14.0,19.400000000000002,16.609434676392663
05,131,05131,0.0,17.740000000000002,46.97076836104961
05,139,05139,0.0,19.633333333333333,68.0585428014592
05,143,05143,0.0,19.8,43.26056964543573
05,145,05145,10.0,14.833333333333334,29.174789723782176
06,1,06001,693.0,18.273684210526316,77.19815171068014
06,5,06005,0.0,19.740909090909092,42.60194070658875
06,7,06007,40.0,18.366666666666667,39.9753604461673
06,9,06009,4.0,18.923076923076923,32.238520096766315
06,13,06013,295.0,20.444444444444443,67.18610402624239
06,15,06015,3.0,16.352941176470587,33.00229575103855
06,17,06017,37.0,19.985714285714288,40.10414290733184
06,19,06019,122.0,20.194117647058825,42.81301151895399
06,23,06023,23.0,17.233333333333334,43.94609196250646
06,25,06025,5.0,17.007692307692306,45.50539295498369
06,29,06029,75.0,17.3,57.1567646550076
06,31,06031,0.0,19.21875,36.49636776466045
06,33,06033,8.0,16.3,32.864295186832045
06,37,06037,2787.0,19.76923076923077,68.14570893598696
06,39,06039,14.0,16.2375,43.111272986272986
06,41,06041,160.0,22.988888888888887,76.62129333548046
06,43,06043,0.0,17.255555555555556,45.12385321100918
06,45,06045,19.0,16.32857142857143,39.37133844588957
06,47,06047,13.0,14.8,35.54503908149145
06,53,06053,73.0,17.4,58.05855695711595
06,55,06055,44.0,18.741666666666667,67.41992127938725
06,57,06057,34.0,20.330000000000002,41.01026932961007
06,59,06059,1187.0,19.083333333333332,70.91399973889479
06,61,06061,123.0,20.56,56.07574169633452
06,63,06063,0.0,18.80909090909091,59.269867549668874
06,65,06065,313.0,17.625,32.73974034841584
06,67,06067,334.0,21.38888888888889,55.173599705764346
06,69,06069,9.0,17.625,42.32012408174396
06,71,06071,283.0,15.844444444444443,38.882483665060676
06,73,06073,1010.0,20.119999999999997,64.16424818000618
06,75,06075,470.0,16.733333333333334,175.13115799241666
06,77,06077,82.0,17.077777777777776,38.70320360476308
06,79,06079,69.0,18.45,57.6133143414049
06,81,06081,323.0,19.09090909090909,130.74347370489227
06,83,06083,137.0,17.3,60.63499218954573
06,85,06085,822.0,20.28181818181818,150.28855980402108
06,87,06087,137.0,21.166666666666668,49.47622254019022
06,89,06089,29.0,20.766666666666666,42.67639546386913
06,93,06093,8.0,18.900000000000002,41.61497817597059
06,95,06095,62.0,17.91111111111111,52.51142923484014
06,97,06097,161.0,17.8,54.739096064821744
06,99,06099,71.0,15.7375,41.056714406254436
06,101,06101,0.0,15.19090909090909,34.80063400395468
06,107,06107,34.0,15.779999999999998,38.7377143865966
06,109,06109,8.0,19.77,47.42670550474035
06,111,06111,217.0,18.9375,62.24811460734059
06,113,06113,37.0,20.91111111111111,62.793193951224104
06,115,06115,0.0,13.516666666666666,39.99740099673115
08,1,08001,109.0,18.273684210526316,47.01979091933996
08,3,08003,3.0,20.436842105263157,40.03144692566534
08,5,08005,247.0,19.740909090909092,68.07170785111042
08,13,08013,257.0,20.444444444444443,77.68008914647928
08,14,08014,44.0,36.2,130.14904407074965
08,15,08015,7.0,16.352941176470587,35.188330322032094
08,19,08019,0.0,20.194117647058825,55.08609700766987
08,29,08029,6.0,17.3,24.822119998676243
08,31,08031,352.0,19.21875,98.81057295343767
08,35,08035,175.0,20.021428571428572,47.44372156789431
08,37,08037,34.0,19.76923076923077,61.5850612366452
08,39,08039,6.0,16.2375,18.399625300370626
08,41,08041,0.0,22.988888888888887,47.813411160802936
08,43,08043,4.0,17.255555555555556,27.802321838587154
08,45,08045,26.0,16.32857142857143,74.22887220640263
08,49,08049,0.0,20.91,46.310484688704115
08,51,08051,15.0,17.16,62.45390070921986
08,59,08059,253.0,19.083333333333332,50.412845793390055
08,67,08067,26.0,21.38888888888889,67.01404468596816
08,69,08069,149.0,17.625,48.70922362950788
08,77,08077,38.0,17.077777777777776,40.121648140431994
